experiment_id,seed,path,sha256,checkpoint,checkpoint_sha256,rows
synthetic_100_unique_1000_presentations_full_vine_state,20261001,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261001/weights_rl_full_seed_20261001.csv,8f137093c6883d91ec35afac214f0569228072bc38094954cfe3ff7e1a121cc7,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261001/td3_lstm_synth100x10_full_full.pt,b06fd0453eec8f936cfe5173cd00e65b7cff2b5d2e29fc250fcba13dc87b1dbd,24
synthetic_100_unique_1000_presentations_full_vine_state,20261002,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261002/weights_rl_full_seed_20261002.csv,a64a931720b526964d9e8ab57b26032c138a232024aa2d2243df982daf62a7f0,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261002/td3_lstm_synth100x10_full_full.pt,6bbf69f8184179fcc8386d2d3d6d9ede7bb8f492262255312ccae4cdaaac797c,24
synthetic_100_unique_1000_presentations_full_vine_state,20261003,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261003/weights_rl_full_seed_20261003.csv,458ecf483a5feab70725ddf2878407a43beef34c57ae7d8eb5c12ac2a309ec79,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261003/td3_lstm_synth100x10_full_full.pt,ec87215df9d48639d4edf8fc3996bc030df2199d9276f3ab42a0c9943e8ada69,24
synthetic_100_unique_1000_presentations_full_vine_state,20261004,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261004/weights_rl_full_seed_20261004.csv,80781d118e222fcc68178469f19616d0bbe5742206fde22aada30ad5bc03abff,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261004/td3_lstm_synth100x10_full_full.pt,6b7842886966ad0da930be6bb693c5dda9ac2fd28a644a17c41837af36527ff4,24
synthetic_100_unique_1000_presentations_full_vine_state,20261005,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261005/weights_rl_full_seed_20261005.csv,8bd1357a8c11aa90964b6428ba346c0832a638ae6263dab79d087d93966e3807,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261005/td3_lstm_synth100x10_full_full.pt,210c1971c0b8457b696c0c276140864b55db1204eee707999a87f46bfb0b4e48,24
synthetic_100_unique_1000_presentations_full_vine_state,20261006,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261006/weights_rl_full_seed_20261006.csv,1a57c679e16c3e5e008f5ca6d8d4c0833a2cfdb4b74f211679c7d886e74f89ae,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261006/td3_lstm_synth100x10_full_full.pt,20c5036b1d214a56e55507334c6a6487a4abcb0e5379bcc2728618935832ed7b,24
synthetic_100_unique_1000_presentations_full_vine_state,20261007,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261007/weights_rl_full_seed_20261007.csv,25cf536eb73b849a526add364776368565cdb43c446514c8ab43d28f0c14c645,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261007/td3_lstm_synth100x10_full_full.pt,699e81e2bad3f4f4991c812dee21fa3d99855f30ed3d07a253f0942e1db00d2b,24
synthetic_100_unique_1000_presentations_full_vine_state,20261008,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261008/weights_rl_full_seed_20261008.csv,d2c64af4b32628b6fbce809f767d4afb5f111786107bd05605c41fe6f6f6f8e1,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261008/td3_lstm_synth100x10_full_full.pt,313021feb310f12045eea984c60b0146c6594670a666066c967e1a3cf6d8a6fe,24
synthetic_100_unique_1000_presentations_full_vine_state,20261009,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261009/weights_rl_full_seed_20261009.csv,a4fd534d2c6ac989c281c80acd38b841cb031f1905cf7e47e7b78ed93d0d055c,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261009/td3_lstm_synth100x10_full_full.pt,87c641fc1927db4ef115e484a82611ff48a4f7c01d91150c12bd51635b3bbc0f,24
synthetic_100_unique_1000_presentations_full_vine_state,20261010,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261010/weights_rl_full_seed_20261010.csv,9c5c65b5fe41480cea58abcf11fdc34a2a7050b357a109f8d112df3ae611f90e,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261010/td3_lstm_synth100x10_full_full.pt,e7196b259d4afa25da4c221fbf38a4d194bc6d4f7cf72fa7c98a304bae362a9b,24
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261001,analysis_outputs/synthetic_presentation_response_v2_weights/weights/synthetic_100_unique_1000_presentations_no_policy_visible_dependence/seed_20261001/weights_rl_full_seed_20261001.csv,00c22937a6796ffd58a87499a2b1e16f35a07afbb7e47b3f6d33a9973babe16d,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_no_policy_visible_dependence/seed_20261001/td3_lstm_synth100x10_no_visible_dependence_full.pt,4239b6df92d22a2c87afe33786b3ab1f21186073c805356e1c40f93755a58985,24
