alternative_experiment_id,seed,annualized_ce_difference
zero_vine_features_and_cvar_observation,20261101,-0.01837765209268749
zero_vine_features_and_cvar_observation,20261102,-0.06571274266754856
zero_vine_features_and_cvar_observation,20261103,-0.09323767503000968
zero_vine_features_and_cvar_observation,20261104,-0.008760693403757958
zero_vine_features_and_cvar_observation,20261105,-0.056632037045043715
zero_vine_features_keep_cvar_observation,20261101,5.75974458008055e-05
zero_vine_features_keep_cvar_observation,20261102,-0.006318867989631771
zero_vine_features_keep_cvar_observation,20261103,0.039473607717166126
zero_vine_features_keep_cvar_observation,20261104,-0.03765843119017831
zero_vine_features_keep_cvar_observation,20261105,0.004244993046177203
