update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,entropy_temperature,stage,episode,step,pass
100,0.07611028105020523,-0.0019559478387236595,0.033108875155448914,0.03223566710948944,-0.0037246844731271267,0.02028239145874977,0.5562096238136292,0.09705623984336853,pretrain,10,11,
200,0.07533460855484009,-0.10028555989265442,0.07853300869464874,0.07718989253044128,0.06257545948028564,0.015549934469163418,0.25503864884376526,0.09413313120603561,pretrain,14,15,
300,0.08342860639095306,-0.1040710061788559,0.0692138746380806,0.07750256359577179,0.10943755507469177,0.015191905200481415,0.5124319195747375,0.09126195311546326,pretrain,18,19,
400,0.0594557486474514,-0.15981140732765198,0.11336229741573334,0.10053547471761703,0.09757465869188309,0.018073681741952896,0.16011333465576172,0.08843787759542465,pretrain,22,23,
500,0.05182499438524246,-0.22123657166957855,0.15171308815479279,0.15782791376113892,0.17216970026493073,0.013893652707338333,0.2237105518579483,0.08567392826080322,pretrain,27,3,
600,0.054555051028728485,-0.3055102527141571,0.2027788758277893,0.21463289856910706,0.2110847532749176,0.015482882037758827,0.10110749304294586,0.08297324180603027,pretrain,31,7,
700,0.06884974241256714,-0.37879082560539246,0.2662571370601654,0.26679086685180664,0.25133001804351807,0.01249658316373825,0.1997777372598648,0.08033763617277145,pretrain,35,11,
800,0.053377456963062286,-0.42193764448165894,0.329441636800766,0.3182111084461212,0.324055552482605,0.014130758121609688,0.09406217932701111,0.07777059823274612,pretrain,39,15,
900,0.06478375941514969,-0.49133527278900146,0.3701438307762146,0.37280017137527466,0.3924701511859894,0.012342200614511967,0.2926461696624756,0.07526393979787827,pretrain,43,19,
1000,0.07292167842388153,-0.5993994474411011,0.4598942995071411,0.4616297483444214,0.4709209203720093,0.013937389478087425,0.188442662358284,0.0728359967470169,pretrain,47,23,
1100,0.04663202911615372,-0.6351354718208313,0.5128171443939209,0.5096280574798584,0.5244000554084778,0.016764022409915924,0.21896281838417053,0.07046444714069366,pretrain,52,3,
1200,0.08199509233236313,-0.7070028781890869,0.5838133692741394,0.5903831720352173,0.5327001810073853,0.020318802446126938,0.7943302392959595,0.06815899908542633,pretrain,56,7,
1300,0.09102839231491089,-0.7754663228988647,0.6405266523361206,0.6320236921310425,0.6155321598052979,0.025225121527910233,0.38587990403175354,0.06592889875173569,pretrain,60,11,
1400,0.08514037728309631,-0.8184134364128113,0.6694222688674927,0.6587262153625488,0.6812400817871094,0.035240594297647476,0.29859644174575806,0.06376021355390549,pretrain,64,15,
1500,0.05971814692020416,-0.9262428283691406,0.7508680820465088,0.7510972619056702,0.7531658411026001,0.03501927852630615,0.2033386081457138,0.061652835458517075,pretrain,68,19,
