job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,bundle_sha256,synthetic_unique_episode_count,synthetic_episode_presentations,RL_ALGORITHM,POLICY_ENCODER,VINE_OBSERVATION_MODE,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE,PRETRAIN_EPISODES,PRETRAIN_RANDOM_EXPLORATION_STEPS,PRETRAIN_NOISE_DECAY,PRETRAIN_BEHAVIOR_GATE_WINDOW,SYNTHETIC_RETURNS_FILE
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261001,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261001,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261002,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261002,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261003,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261003,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261004,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261004,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261005,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261005,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261006,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261006,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261007,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261007,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261008,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261008,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261009,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261009,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
synthetic_presentation_response,synthetic_100_unique_1000_presentations_full_vine_state,20261010,data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261010,"At 100 unique paths, what is the effect of restoring 1000 presentations and the original TD3 update horizon for the full-state policy?",f85f7ba7e6d380b1ac6b46ce7fa19ea32ce408681db16159d683baec3d072ad5,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,100,1000,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_synth100x10_full,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/synthetic_presentation_response_v2/vine_synthetic_100_unique_1000_presentations.RData
