candidate,comparator,seed,ce_difference,cagr_difference,turnover_difference,gross_exposure_difference
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261001,0.17174345069586128,0.1814232434613634,0.3854894646588566,-0.0048805985285282905
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261002,-0.03231870256731928,-0.036339299794453384,0.17556150270892057,-0.010763772206937139
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261003,0.01263994109645683,0.017339477058051944,0.2269931527023963,-0.01376080658141654
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261004,0.15814640732214236,0.16649358405135817,0.2717720570599107,-0.006728960491426461
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261005,-0.24399477091662058,-0.2475164546671722,-0.061835384286649586,-0.008134389779978157
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261006,-0.11955912036240934,-0.12203876385242962,0.026620277118954205,0.018489874536534945
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261007,-0.07306736040971384,-0.07452708633443184,0.2342727193971731,0.00839514348220538
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261008,-0.20937785058146385,-0.21771290777685004,-0.04790182094779137,0.014976291929359675
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261009,-0.13735806940000717,-0.13579569266813918,0.4985188824463293,-0.011914395436934733
synthetic_100_unique_1000_presentations_full_vine_state,synthetic_100_full_vine_state,20261010,0.35197551222428736,0.3634418544253162,0.2789999620093924,-0.0044482746826752795
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261001,0.22001877086423294,0.23414751990595573,0.3578969557322081,-0.007571952683584904
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261002,-0.029760192823027776,-0.02519078119949958,0.5417186086997393,-0.0012272967194970619
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261003,0.22185514233660508,0.22844740605419056,0.5437713876402902,-0.0028415027183370523
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261004,0.11692823489355986,0.1213843691601233,0.3283725540189968,-0.006038717296603879
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261005,0.19711470779127627,0.2183156211286048,0.16694046398503792,-0.008973418577731707
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261006,-0.19217439774614586,-0.20415086265467708,0.40828664279119564,-0.0038659715807285444
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261007,-0.23687964481219614,-0.24641049235788293,-0.1482495505169227,0.0005580425359212882
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261008,0.08803003047134639,0.09591353657444723,0.13333225921522063,-0.009298243039808085
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261009,-0.10091413307748764,-0.09841741784944258,0.4122324775686706,-0.012970412125835384
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,20261010,0.3053120986430997,0.3154832517568229,0.31729745330264814,-0.00986581866617331
