"regime","asset","observations","mean","sd","q05","q95","skew","excess_kurtosis"
"historical_finetune","SP500",95,0.00689161170516344,0.0475128632492208,-0.0889764522988927,0.0777000193843862,-0.626751032231464,0.609509782900215
"historical_finetune","NASDAQ",95,0.00857357771254977,0.0555815727957681,-0.0995936955497147,0.0902566147463675,-0.53048459768952,0.275265040212689
"historical_finetune","DOW",95,0.00692726620564992,0.0475327369107659,-0.0692837896414086,0.074250151710505,-0.498249911525547,1.2060763594458
"historical_finetune","SSE50",95,0.00118483031324301,0.0605450323500544,-0.0889029936040258,0.101861401924931,-0.271917319350308,0.774972892208492
"historical_finetune","DIVIDEND",95,0.00152444079588162,0.0600785379128353,-0.0832151431320975,0.0935865416014391,-0.607025511533229,3.05684924016682
"historical_finetune","CHINEXT",95,0.00357326801822202,0.093222848168322,-0.133824821960797,0.182197683365419,-0.141916364294778,1.07215863041688
"historical_finetune","GOLD",95,0.00468175747848187,0.0350291736918209,-0.0438019101063149,0.07415875075516,0.392938987308264,0.402770799497775
"synthetic_pretrain","SP500",24000,0.00626074610676499,0.0481552413929294,-0.0928779835677939,0.0795747790190415,-0.624640413976215,0.597839380776646
"synthetic_pretrain","NASDAQ",24000,0.00787021819832142,0.0560648179314715,-0.106778011573814,0.0911902472952433,-0.53001950343438,0.274671973311027
"synthetic_pretrain","DOW",24000,0.00627499425998318,0.047965492543594,-0.0727015035828651,0.0762957779476064,-0.520801585271465,1.21142933395739
"synthetic_pretrain","SSE50",24000,0.00127108232390872,0.060355537063539,-0.102056606766071,0.103650304681737,-0.279396652258822,0.764819177584751
"synthetic_pretrain","DIVIDEND",24000,0.0018829261893154,0.0600279378394608,-0.0839014179215767,0.0949690083605503,-0.581159668699094,2.90328982402575
"synthetic_pretrain","CHINEXT",24000,0.00483031276972432,0.0923398241604125,-0.134590551421085,0.186817859192125,-0.0991079374670213,1.07139906173077
"synthetic_pretrain","GOLD",24000,0.00485727713348221,0.0352585674505415,-0.0455399689946521,0.0741989775041765,0.383478352122252,0.410028903547481
