experiment_id,seed,checkpoint,checkpoint_sha256,pretrained_checkpoint,pretrained_checkpoint_sha256,checkpoint_schema,rl_algorithm,policy_encoder,vine_observation_mode,vine_feature_mode,cvar_observation_mode,cvar_reward_mode,pretrain_data_mode,pretrain_behavior_gate_mode,run_finetune,synthetic_unique_episode_count,pretrain_episode_presentations,synthetic_repetition_count,pretrain_random_exploration_steps,pretrain_noise_decay,pretrained_total_actions,full_total_actions,pretrained_update_count,full_update_count,bundle_sha256,all_tensors_finite,behavior_gate_mode,behavior_gate_pass,behavior_gate_failed_metrics
synthetic_100_unique_1000_presentations_full_vine_state,20261001,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261001/td3_lstm_synth100x10_full_full.pt,b06fd0453eec8f936cfe5173cd00e65b7cff2b5d2e29fc250fcba13dc87b1dbd,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261001/td3_lstm_synth100x10_full_pretrained.pt,66582518d3db8f048793d1361876072bb4b963dc52b8b8e7c20889da6e433273,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261002,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261002/td3_lstm_synth100x10_full_full.pt,6bbf69f8184179fcc8386d2d3d6d9ede7bb8f492262255312ccae4cdaaac797c,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261002/td3_lstm_synth100x10_full_pretrained.pt,80a220e6e78839abbc2aeee9813dbb876e8c6261607538a280778e5a7ac392f9,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261003,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261003/td3_lstm_synth100x10_full_full.pt,ec87215df9d48639d4edf8fc3996bc030df2199d9276f3ab42a0c9943e8ada69,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261003/td3_lstm_synth100x10_full_pretrained.pt,be37a90550f11aa82750d445a3fbf7ab9363095ab6b9a2629bd8d0a3e1c71acc,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261004,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261004/td3_lstm_synth100x10_full_full.pt,6b7842886966ad0da930be6bb693c5dda9ac2fd28a644a17c41837af36527ff4,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261004/td3_lstm_synth100x10_full_pretrained.pt,b5a8518ddd2d782c4dd71280dd51f2eb52766545ffeb42e2246299e11b74f034,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261005,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261005/td3_lstm_synth100x10_full_full.pt,210c1971c0b8457b696c0c276140864b55db1204eee707999a87f46bfb0b4e48,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261005/td3_lstm_synth100x10_full_pretrained.pt,4660a0331939c82c220fd54170cb42dc11d6199d84844f8f648b23618ba1e702,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261006,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261006/td3_lstm_synth100x10_full_full.pt,20c5036b1d214a56e55507334c6a6487a4abcb0e5379bcc2728618935832ed7b,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261006/td3_lstm_synth100x10_full_pretrained.pt,1d20731c4279eac784223f5bff41908ccd9546cb7f84376239999e352c1e8768,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261007,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261007/td3_lstm_synth100x10_full_full.pt,699e81e2bad3f4f4991c812dee21fa3d99855f30ed3d07a253f0942e1db00d2b,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261007/td3_lstm_synth100x10_full_pretrained.pt,071f509ecd9f83a694f4243ec8904aafa469a1f97bc0d621f3fe59d10bf5cec9,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261008,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261008/td3_lstm_synth100x10_full_full.pt,313021feb310f12045eea984c60b0146c6594670a666066c967e1a3cf6d8a6fe,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261008/td3_lstm_synth100x10_full_pretrained.pt,b5802d8b18473a40d6ad446cac7e47dde0f01f6162519375a4501441776989d0,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261009,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261009/td3_lstm_synth100x10_full_full.pt,87c641fc1927db4ef115e484a82611ff48a4f7c01d91150c12bd51635b3bbc0f,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261009/td3_lstm_synth100x10_full_pretrained.pt,b67316a5d82f407850841c37b3d46072ea7b02cacc2178d986849e440861cc50,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
synthetic_100_unique_1000_presentations_full_vine_state,20261010,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261010/td3_lstm_synth100x10_full_full.pt,e7196b259d4afa25da4c221fbf38a4d194bc6d4f7cf72fa7c98a304bae362a9b,/gabirel/copula-portfolio-clean/data/synthetic_presentation_response_runs_v2/synthetic_100_unique_1000_presentations_full_vine_state/seed_20261010/td3_lstm_synth100x10_full_pretrained.pt,9821d8f41bc95e4688019d1351b6d5935f18d8c273ec4b437f0eed63b4d9331f,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,1000,10,1000,0.998,24000,25464,23873,25274,7c9c18c09a6d658135830420f5247de71c4583b3114707ba02195d06c081350f,True,report_only,True,
