job_family,design_id,evidence_class,panel_id,experiment_id,algorithm,encoder,seed,holdout_access_permitted
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261001,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261002,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261003,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261004,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261005,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261006,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261007,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261008,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261009,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,td3,td3,lstm,20261010,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261001,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261002,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261003,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261004,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261005,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261006,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261007,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261008,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261009,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ddpg,ddpg,lstm,20261010,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261001,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261002,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261003,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261004,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261005,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261006,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261007,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261008,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261009,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,sac,sac,lstm,20261010,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261001,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261002,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261003,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261004,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261005,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261006,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261007,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261008,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261009,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,ppo,ppo,lstm,20261010,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261001,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261002,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261003,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261004,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261005,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261006,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261007,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261008,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261009,False
rl_algorithm,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,a2c,a2c,lstm,20261010,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261001,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261002,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261003,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261004,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261005,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261006,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261007,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261008,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261009,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,full_vine_state_and_cvar_observation,td3,lstm,20261010,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261001,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261002,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261003,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261004,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261005,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261006,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261007,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261008,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261009,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_keep_cvar_observation,td3,lstm,20261010,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261001,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261002,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261003,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261004,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261005,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261006,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261007,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261008,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261009,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,keep_vine_features_zero_cvar_observation,td3,lstm,20261010,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261001,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261002,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261003,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261004,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261005,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261006,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261007,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261008,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261009,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_vine_features_and_cvar_observation,td3,lstm,20261010,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261001,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261002,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261003,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261004,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261005,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261006,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261007,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261008,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261009,False
causal_ablation,retrospective_expanding_24m_v1,retrospective_walk_forward,global_liquid_etf_18,zero_cvar_reward_keep_state,td3,lstm,20261010,False
