window_id,decision_date,holding_end_date
retrospective_original_7asset_expanding_24m_v1_w02,2022-12-30,2023-01-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-01-31,2023-02-28
retrospective_original_7asset_expanding_24m_v1_w02,2023-02-28,2023-03-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-03-31,2023-04-28
retrospective_original_7asset_expanding_24m_v1_w02,2023-04-28,2023-05-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-05-31,2023-06-30
retrospective_original_7asset_expanding_24m_v1_w02,2023-06-30,2023-07-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-07-31,2023-08-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-08-31,2023-09-28
retrospective_original_7asset_expanding_24m_v1_w02,2023-09-28,2023-10-31
retrospective_original_7asset_expanding_24m_v1_w02,2023-10-31,2023-11-30
retrospective_original_7asset_expanding_24m_v1_w02,2023-11-30,2023-12-29
retrospective_original_7asset_expanding_24m_v1_w02,2023-12-29,2024-01-31
retrospective_original_7asset_expanding_24m_v1_w02,2024-01-31,2024-02-29
retrospective_original_7asset_expanding_24m_v1_w02,2024-02-29,2024-03-28
retrospective_original_7asset_expanding_24m_v1_w02,2024-03-28,2024-04-30
retrospective_original_7asset_expanding_24m_v1_w02,2024-04-30,2024-05-31
retrospective_original_7asset_expanding_24m_v1_w02,2024-05-31,2024-06-28
retrospective_original_7asset_expanding_24m_v1_w02,2024-06-28,2024-07-31
retrospective_original_7asset_expanding_24m_v1_w02,2024-07-31,2024-08-30
retrospective_original_7asset_expanding_24m_v1_w02,2024-08-30,2024-09-30
retrospective_original_7asset_expanding_24m_v1_w02,2024-09-30,2024-10-31
retrospective_original_7asset_expanding_24m_v1_w02,2024-10-31,2024-11-29
retrospective_original_7asset_expanding_24m_v1_w02,2024-11-29,2024-12-31
