seed,stage,pass,position,original_episode
20260841,selection_fit,1,1,34
20260841,selection_fit,1,2,36
20260841,selection_fit,1,3,27
20260841,selection_fit,1,4,13
20260841,selection_fit,1,5,3
20260841,selection_fit,1,6,14
20260841,selection_fit,1,7,11
20260841,selection_fit,1,8,7
20260841,selection_fit,1,9,21
20260841,selection_fit,1,10,30
20260841,selection_fit,1,11,10
20260841,selection_fit,1,12,17
20260841,selection_fit,1,13,26
20260841,selection_fit,1,14,1
20260841,selection_fit,1,15,28
20260841,selection_fit,1,16,4
20260841,selection_fit,1,17,22
20260841,selection_fit,1,18,18
20260841,selection_fit,1,19,35
20260841,selection_fit,1,20,33
20260841,selection_fit,1,21,23
20260841,selection_fit,1,22,25
20260841,selection_fit,1,23,15
20260841,selection_fit,1,24,37
20260841,selection_fit,1,25,24
20260841,selection_fit,1,26,8
20260841,selection_fit,1,27,19
20260841,selection_fit,1,28,5
20260841,selection_fit,1,29,31
20260841,selection_fit,1,30,29
20260841,selection_fit,1,31,12
20260841,selection_fit,1,32,32
20260841,selection_fit,1,33,20
20260841,selection_fit,1,34,6
20260841,selection_fit,1,35,16
20260841,selection_fit,1,36,2
20260841,selection_fit,1,37,9
20260841,all_history_refit,1,1,18
20260841,all_history_refit,1,2,31
20260841,all_history_refit,1,3,39
20260841,all_history_refit,1,4,49
20260841,all_history_refit,1,5,46
20260841,all_history_refit,1,6,21
20260841,all_history_refit,1,7,57
20260841,all_history_refit,1,8,22
20260841,all_history_refit,1,9,42
20260841,all_history_refit,1,10,24
20260841,all_history_refit,1,11,3
20260841,all_history_refit,1,12,58
20260841,all_history_refit,1,13,43
20260841,all_history_refit,1,14,9
20260841,all_history_refit,1,15,2
20260841,all_history_refit,1,16,8
20260841,all_history_refit,1,17,44
20260841,all_history_refit,1,18,54
20260841,all_history_refit,1,19,16
20260841,all_history_refit,1,20,20
20260841,all_history_refit,1,21,55
20260841,all_history_refit,1,22,28
20260841,all_history_refit,1,23,35
20260841,all_history_refit,1,24,27
20260841,all_history_refit,1,25,33
20260841,all_history_refit,1,26,17
20260841,all_history_refit,1,27,7
20260841,all_history_refit,1,28,13
20260841,all_history_refit,1,29,53
20260841,all_history_refit,1,30,36
20260841,all_history_refit,1,31,48
20260841,all_history_refit,1,32,47
20260841,all_history_refit,1,33,14
20260841,all_history_refit,1,34,11
20260841,all_history_refit,1,35,40
20260841,all_history_refit,1,36,41
20260841,all_history_refit,1,37,52
20260841,all_history_refit,1,38,51
20260841,all_history_refit,1,39,56
20260841,all_history_refit,1,40,10
20260841,all_history_refit,1,41,23
20260841,all_history_refit,1,42,50
20260841,all_history_refit,1,43,45
20260841,all_history_refit,1,44,1
20260841,all_history_refit,1,45,15
20260841,all_history_refit,1,46,37
20260841,all_history_refit,1,47,30
20260841,all_history_refit,1,48,59
20260841,all_history_refit,1,49,26
20260841,all_history_refit,1,50,34
20260841,all_history_refit,1,51,60
20260841,all_history_refit,1,52,29
20260841,all_history_refit,1,53,12
20260841,all_history_refit,1,54,4
20260841,all_history_refit,1,55,19
20260841,all_history_refit,1,56,6
20260841,all_history_refit,1,57,61
20260841,all_history_refit,1,58,5
20260841,all_history_refit,1,59,25
20260841,all_history_refit,1,60,32
20260841,all_history_refit,1,61,38
20260842,selection_fit,1,1,18
20260842,selection_fit,1,2,31
20260842,selection_fit,1,3,32
20260842,selection_fit,1,4,9
20260842,selection_fit,1,5,11
20260842,selection_fit,1,6,14
20260842,selection_fit,1,7,29
20260842,selection_fit,1,8,36
20260842,selection_fit,1,9,16
20260842,selection_fit,1,10,33
20260842,selection_fit,1,11,10
20260842,selection_fit,1,12,8
20260842,selection_fit,1,13,28
20260842,selection_fit,1,14,22
20260842,selection_fit,1,15,35
20260842,selection_fit,1,16,17
20260842,selection_fit,1,17,1
20260842,selection_fit,1,18,24
20260842,selection_fit,1,19,7
20260842,selection_fit,1,20,21
20260842,selection_fit,1,21,4
20260842,selection_fit,1,22,2
20260842,selection_fit,1,23,13
20260842,selection_fit,1,24,27
20260842,selection_fit,1,25,12
20260842,selection_fit,1,26,23
20260842,selection_fit,1,27,25
20260842,selection_fit,1,28,30
20260842,selection_fit,1,29,6
20260842,selection_fit,1,30,3
20260842,selection_fit,1,31,19
20260842,selection_fit,1,32,5
20260842,selection_fit,1,33,15
20260842,selection_fit,1,34,26
20260842,selection_fit,1,35,37
20260842,selection_fit,1,36,34
20260842,selection_fit,1,37,20
20260842,all_history_refit,1,1,7
20260842,all_history_refit,1,2,47
20260842,all_history_refit,1,3,31
