strategy_id,window_id,decision_date,holding_end_date,trading_days,is_complete_period,gross_return,net_return,wealth,drawdown,turnover,turnover_convention,transaction_cost,financing_cost,financing_year_fraction,short_notional,cash_borrow_notional,gross_exposure,net_exposure,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD,experiment_id,strategy_level,seed
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-07-31,2024-08-30,22,True,0.019230990533687153,0.017713969832587884,101771.39698325879,0.0,0.9917340491499208,target_to_target_v1,0.0009917340491499209,0.0004977720603346821,0.08333333333333333,0.1991088241338727,2.220446049250313e-16,1.3982176482677457,1.0000000000000002,0.385926827788353,-0.0627263635396957,0.259664699435234,0.131813228130341,0.152081340551376,-0.136382460594177,0.269622728228569,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-08-30,2024-09-30,18,True,0.006135916888796222,0.005600883813142277,102341.4067532632,0.0,0.02481493779591204,target_to_target_v1,2.481493779591204e-05,0.000507096680147307,0.08333333333333333,0.2028386720589228,0.0,1.405677344117846,1.0,0.38995912032468,-0.0629910443510328,0.256746732762882,0.127331161073276,0.160456516913005,-0.13984762770789,0.26834514098508,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-09-30,2024-10-31,18,True,0.0008751337728662989,0.0003108674578080617,102373.2213662091,0.0,0.1122144907712939,target_to_target_v1,0.0001122144907712939,0.0004517174272664974,0.08333333333333333,0.1806869709065987,4.440892098500626e-16,1.3613739418131978,1.0000000000000004,0.379577675036022,-0.0641936723675047,0.248868280223438,0.14385613160474,0.123811797371932,-0.116493298539094,0.284573086670467,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-10-31,2024-11-29,20,True,0.028581064226119945,0.02793474151577291,105232.99084321114,0.0,0.12571982613631827,target_to_target_v1,0.00012571982613631828,0.0005028410921139385,0.08333333333333333,0.20113643684557542,0.0,1.4022728736911494,0.9999999999999987,0.39916588898216,-0.0637456199952534,0.247353812413556,0.126671796398503,0.166635444121701,-0.137390816850322,0.261309494929654,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-11-29,2024-12-31,21,True,-0.011524522382777014,-0.01210449681119874,103959.19844111659,-0.01210449681119874,0.09299693363053657,target_to_target_v1,9.299693363053657e-05,0.00049391154732023,0.08333333333333333,0.19756461892809202,0.0,1.395129237856184,0.9999999999999998,0.379990613886288,-0.064149477652141,0.25667265696185,0.137286818453244,0.139716110059193,-0.133415141275951,0.283898419567517,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2024-12-31,2025-01-27,16,True,0.02300819635352358,0.02242947775686832,106290.94897017347,0.0,0.06083011627197289,target_to_target_v1,6.083011627197289e-05,0.0005050327495804849,0.08333333333333333,0.20201309983219398,0.0,1.4040261996643868,0.999999999999999,0.397288440593651,-0.065985986164638,0.25236800206559,0.131025551685265,0.152833341487816,-0.136027113667556,0.268497763999871,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2025-01-27,2025-02-28,17,True,-0.005720443263900643,-0.006264486136838721,105625.0907938784,-0.006264486136838721,0.033382002796445515,target_to_target_v1,3.3382002796445516e-05,0.000513940695673227,0.08333333333333333,0.2055762782692905,4.440892098500626e-16,1.4111525565385814,1.0000000000000004,0.395456694066525,-0.0641061663627625,0.247321106493473,0.12703713029623,0.167644523084164,-0.141470111906528,0.268116824328899,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2025-02-28,2025-03-31,21,True,0.003689914480569767,0.0031252121660341192,105955.19161266588,-0.0031588518190933668,0.04429061497960729,target_to_target_v1,4.429061497960729e-05,0.0005184939902807995,0.08333333333333333,0.2073975961123198,0.0,1.4147951922246387,0.9999999999999991,0.405229363058295,-0.0643708897488458,0.240212160561766,0.121439370725836,0.180017161582197,-0.143026706363474,0.260499540184225,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2025-03-31,2025-04-30,20,True,0.014823509708267402,0.013853971874605131,107423.09185723614,0.0,0.43925521416323443,target_to_target_v1,0.00043925521416323445,0.0005165772592382772,0.08333333333333333,0.2066309036953106,4.440892098500626e-16,1.4132618073906218,1.0000000000000004,0.412159497184413,0.121103490037577,0.227656269712108,-0.0643453427723476,0.206499109310763,-0.142285560922963,0.23921253745045,synthetic_100_full_vine_state,seed,20261001.0
synthetic_100_full_vine_state__seed_20261001,locked_oos_v1,2025-04-30,2025-05-30,18,True,0.0430710654927684,0.04250698148635568,111989.32323401877,0.0,0.016902714967729007,target_to_target_v1,1.6902714967729008e-05,0.0005240351041512839,0.08333333333333333,0.2096140416605136,0.0,1.4192280833210267,0.9999999999999996,0.409914376480239,0.123682836336749,0.22443317089762,-0.0656504088214466,0.208590956670897,-0.143963632839067,0.242992701275008,synthetic_100_full_vine_state,seed,20261001.0
