strategy_id,experiment_id,strategy_level,seed,source,observations,elapsed_years,total_return,cagr,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,omega_ratio,monthly_var_95_loss,monthly_cvar_95_loss,annualized_certainty_equivalent_return,mean_crra_utility,terminal_wealth,gross_total_return_before_costs,mean_monthly_turnover,annualized_turnover,mean_gross_exposure,maximum_gross_exposure,mean_short_notional,total_transaction_cost,total_financing_cost,implementation_drag_total_return
dcc_garch,dcc_garch,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5630504998075294,0.26016015222196387,0.1361039003343426,1.7784711057437577,4.170793174236156,0.08049120889842076,3.2321561047776513,4.207467605409243,0.04586741572686872,0.0538282745984041,0.2495571777004486,0.017770169970272684,156305.04998075296,0.5688763871962959,0.1525882017857639,1.8959895711252368,1.0019402966053537,1.011611986865433,0.0009701483026769306,0.003662116842857629,5.820889816061916e-05,0.0058258873887664375
dynamic_nn_vine,dynamic_nn_vine,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5335514091646678,0.24779055350023782,0.16711619805256017,1.413973098822336,3.4753320178824287,0.08651885152765049,2.864006504074394,2.9469446697161152,0.0369003972578815,0.052903642116857,0.23224940972975272,0.01666697550691239,153355.14091646677,0.5949044153085195,1.0694876864695362,13.288953380812961,1.451995805904258,1.5000000098081108,0.22599790295212854,0.025667704475267852,0.013559874177126712,0.06135300614385164
equal_weight,equal_weight,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.4840997883595566,0.2267940967446349,0.13225718853187735,1.619335101016311,4.8212821617414665,0.057458966064971695,3.94706191698938,3.9796973897419896,0.019503386746962045,0.0362399147944127,0.2172753698272032,0.015698938696822384,148409.97883595567,0.4840997883595566,0.0,0.0,0.9999999999999997,0.9999999999999998,0.0,0.0,0.0,0.0
full_vine_state_and_cvar_observation,full_vine_state_and_cvar_observation,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5261509948436323,0.24466944108750743,0.12157151996503417,1.8733771762233091,4.197455219248846,0.06649288834486311,3.6796332236093834,4.445653202970537,0.03893788310787589,0.05186850363553905,0.23621902032667852,0.016921471019488182,152615.09948436322,0.5405712600580721,0.3391780764845835,4.214468014191421,1.0423109170304432,1.121187193292592,0.021155458515221687,0.008140273835628918,0.0012641457999109215,0.014420265214439842
historical_only_no_synthetic_pretraining,historical_only_no_synthetic_pretraining,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.9734982371200656,0.4218476528922235,0.1665373173461812,2.2188211892396565,8.764190035143718,0.06089368669214057,6.927609015117663,8.018668429514557,0.016696920404671217,0.0347723128712072,0.4051199928795539,0.02700164631339681,197349.82371200656,1.0041731469749933,0.5898897824306052,7.329694317861137,1.0418934227846048,1.1608739256592733,0.02094671139230259,0.0141573547783334,0.0012665025535901094,0.030674909854927712
rolling_vine,rolling_vine,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.4298559574460723,0.20337103531124057,0.18527979157963,1.0940764620816616,2.057890667721622,0.107866778137653,1.8853908387966392,2.367541489654582,0.07090525115707544,0.0869196362518374,0.1842718911983463,0.013519125241462107,142985.59574460724,0.4923090400229915,1.1807612152931373,14.671586164493451,1.4804210802959894,1.5000000097248312,0.2402105401479957,0.0283382691670341,0.0144126324088786,0.06245308257691917
shrinkage_mean_variance,shrinkage_mean_variance,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.47554755726435705,0.22312890643846583,0.14072667120652949,1.509990291031843,2.7730437457382675,0.09707962981562035,2.2984111791757558,3.081782239297522,0.05858798697104263,0.07167756184086835,0.21166913815795252,0.015333194155468017,147554.75572643572,0.4774877080315425,0.054701899353717935,0.6797001962249208,1.000038635770676,1.0000873427397168,1.9317885337874035e-05,0.0013128455844890101,1.1590731202857647e-06,0.0019401507671854556
static_vine,static_vine,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5723197184651334,0.26402364359030783,0.17068263360646116,1.464421172657573,3.7290878668611813,0.07881065221623462,3.3501009846473546,3.0455392497211164,0.03473758769719398,0.050325478987137656,0.24776617174894722,0.017656779771080877,157231.97184651333,0.633093902833326,1.0211746447702532,12.688638139272935,1.447202251581415,1.5000000019829696,0.22360112558410075,0.0245081914744849,0.013416067551573721,0.060774184368192596
synthetic_100_full_vine_state,synthetic_100_full_vine_state,ensemble,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5754366982111814,0.2653203588246016,0.12604775498541892,1.9443031500229577,4.089783806138789,0.080528774041572,3.294727406226664,4.646298755580471,0.03736284673666579,0.05644924404637114,0.25597201317807405,0.018174862928090094,157543.66982111815,0.5795632915241342,0.10731211783408769,1.333410145002281,1.0013472561724484,1.0176764825092894,0.0006736280862242012,0.0025754908280181048,4.041768517345391e-05,0.004126593312952842
synthetic_100_no_policy_visible_dependence,synthetic_100_no_policy_visible_dependence,ensemble,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.5163019656233094,0.2405042861111748,0.1185820976096891,1.8891566395594177,4.372528053544966,0.06388031604546474,3.7649201037140094,4.720456131984622,0.03366136287548301,0.04884254885349243,0.23244703062828553,0.01667966611000805,151630.19656233094,0.5208220672279851,0.10435481777946869,1.296664118791696,1.0157351194526114,1.0579296559095386,0.007867559726305666,0.0025045156267072483,0.000472053583578344,0.0045201016046756415
zero_vine_features_and_cvar_observation,zero_vine_features_and_cvar_observation,comparator,,locked_all_24_period_sensitivity,24,1.9315068493150684,0.45874325191885923,0.2158971951120614,0.1218988862179607,1.6737705128406999,3.683200342346233,0.07447749381817637,2.8988246521712484,3.546321709107431,0.03451414932071237,0.048674746291024154,0.20754128751217737,0.015062726899848037,145874.32519188593,0.4744169725487801,0.3689072692220136,4.583869047354383,1.061192519645694,1.1320261281249775,0.030596259822847176,0.008853774461327268,0.0018335856672800593,0.015673720629920895
