"regime","asset","observations","mean","sd","q05","q95","skew","excess_kurtosis"
"historical_finetune","SP500",114,0.00893118742245167,0.0460427439293137,-0.0779512913476148,0.0778442602306906,-0.642172331470009,0.674044290302899
"historical_finetune","NASDAQ",114,0.0117033053729972,0.0546257373369223,-0.094245996267562,0.0947361873910966,-0.525782770999275,0.260684266869047
"historical_finetune","DOW",114,0.00760404225359474,0.0456597504419373,-0.0683751853692367,0.0744567538805071,-0.496652377387465,1.27966940155139
"historical_finetune","SSE50",114,0.000348743759706622,0.0574011659548262,-0.0812259283694992,0.0967170880058603,-0.216422084855183,0.956593627824597
"historical_finetune","DIVIDEND",114,0.00194818722101499,0.0563590770449414,-0.0774944255504085,0.091781808339655,-0.614177919759566,3.56907718411296
"historical_finetune","CHINEXT",114,0.000187155861233758,0.0893680993446617,-0.13406598621456,0.168349478520915,-0.0794344639316115,1.23406907917401
"historical_finetune","GOLD",114,0.00662345620181135,0.0337980966455524,-0.0415408481631415,0.0741616948174774,0.360731197304999,0.486043922261737
"synthetic_pretrain","SP500",24000,0.00910571275836126,0.0458199051861546,-0.0842041192493347,0.0794716426420275,-0.642936202197294,0.721419383024467
"synthetic_pretrain","NASDAQ",24000,0.0119873193301248,0.0542445468678785,-0.0949492475484563,0.0988409723498026,-0.522550142956281,0.282558099539925
"synthetic_pretrain","DOW",24000,0.00776436959278055,0.0455472938636239,-0.0689004966980391,0.0763985558581352,-0.482072306719538,1.30341393399739
"synthetic_pretrain","SSE50",24000,0.000968286342607937,0.0573732083891196,-0.0815593553163298,0.100552496576213,-0.206966902199863,0.946717731152293
"synthetic_pretrain","DIVIDEND",24000,0.0020224095782995,0.0572498113752335,-0.0827415274255478,0.0935542169430799,-0.553935773634325,3.27781134800065
"synthetic_pretrain","CHINEXT",24000,0.000588526100835508,0.0889214152772958,-0.135762687960367,0.177490386786796,-0.0774691504588615,1.30876704821124
"synthetic_pretrain","GOLD",24000,0.00676275009013343,0.0334999088736711,-0.0422416268986215,0.0741890456806769,0.383625938968082,0.530454848600098
