experiment_id,seed,checkpoint,checkpoint_sha256,pretrained_checkpoint,pretrained_checkpoint_sha256,checkpoint_schema,rl_algorithm,policy_encoder,vine_observation_mode,vine_feature_mode,cvar_observation_mode,cvar_reward_mode,pretrain_data_mode,pretrain_behavior_gate_mode,run_finetune,pretrain_episode_presentations,pretrain_random_exploration_steps,pretrain_noise_decay,pretrained_total_actions,full_total_actions,pretrained_update_count,full_update_count,bundle_sha256,all_tensors_finite,behavior_gate_mode,behavior_gate_pass,behavior_gate_failed_metrics
synthetic_100_full_vine_state,20261001,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261001/td3_lstm_synth100_full_full.pt,5d826e8304fb19e5a692eb7ade0932d61562a7fd920881ace090962f3aaec6a9,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261001/td3_lstm_synth100_full_pretrained.pt,0fdfcdcc976b2af3de8e3bb04a36b40012a6b81a863857bd8a6e3c46ea93673b,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261002,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261002/td3_lstm_synth100_full_full.pt,5686cf8985697b4db5d761c7aced8829988759471ae0d3add31aceca5751d710,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261002/td3_lstm_synth100_full_pretrained.pt,51c61de8cead1386c75431117bda9aa85e336da401c09069aced43a28c6067a6,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261003,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261003/td3_lstm_synth100_full_full.pt,544d59d976b77f8cd2a267ae3070fe3b0ee9ce364a2c66765d8f3545654389a6,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261003/td3_lstm_synth100_full_pretrained.pt,75c9f4020b07faea8e72c4d993be2fb384bf5366c15d568066d1519098e62c68,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261004,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261004/td3_lstm_synth100_full_full.pt,856efdea090d86ca99eddbe5933788e2f5809de95951977b6cbc0ad5757ef4c6,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261004/td3_lstm_synth100_full_pretrained.pt,c6af1be1cb708fbb511cb3c646e9cedeb23d094a9d42fab5805994ff5941ee75,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261005,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261005/td3_lstm_synth100_full_full.pt,9daeab89be3c4d166b79206704e5ff71b1a662cf145943cd67d64556503ca943,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261005/td3_lstm_synth100_full_pretrained.pt,285e49a3164368b542afc8db6652dbf9d9cc40a254ce47054c37f41ab3357837,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261006,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261006/td3_lstm_synth100_full_full.pt,27d5bb1df22e10cf63e576dd2f8b5a15c582a8f2599ab7da944500677234f59d,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261006/td3_lstm_synth100_full_pretrained.pt,9a914f87541adc5060c37f18255aa713d993b9fd4e80618deb8e97213ea10d14,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261007,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261007/td3_lstm_synth100_full_full.pt,4b42c53af4b94081cecd327a7c42bf68fb71696b702e26cdab6601b7d123e6a2,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261007/td3_lstm_synth100_full_pretrained.pt,e02579aa45576a6303195c28c2eda7f91260cf833fa6d1a4096665617f3eb861,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261008,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261008/td3_lstm_synth100_full_full.pt,8c5c0d4f107dc48abd4c2c360d67d19db919633288743a1e397b096c0d959983,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261008/td3_lstm_synth100_full_pretrained.pt,44001d65e1670490343a9ab2f1457068de6f517f133edda2c82783dffc76aea0,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261009,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261009/td3_lstm_synth100_full_full.pt,d2368c16fe8d64cf19d2c9cc0868fce6115103d0dc6a9bc7fb6358833acd0fc2,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261009/td3_lstm_synth100_full_pretrained.pt,7d781ae3d04c8133cc2fac2f3ee81ff2f4a38920490a6d935e56a3813e203cb4,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
synthetic_100_full_vine_state,20261010,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261010/td3_lstm_synth100_full_full.pt,4bcabac23e647375333b85b339079aa85dc387d978c5bc04e9aa641e69f58510,/gabirel/copula-portfolio-clean/data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261010/td3_lstm_synth100_full_pretrained.pt,54d53853d885a6050b3bd11f418f75d739e76eab349293251af58607f6c7469d,5,td3,lstm,full,full,full,full,vine_synthetic,report_only,True,100,100,0.9801790434,2400,3864,2273,3674,65eb5c715436f155c6cb8447d811e6cb96c2e9b55cc5b2d6ffeb560f9396b314,True,report_only,True,
