seed,stage,pass,position,original_episode
20260741,selection_fit,1,1,9
20260741,selection_fit,1,2,35
20260741,selection_fit,1,3,27
20260741,selection_fit,1,4,2
20260741,selection_fit,1,5,37
20260741,selection_fit,1,6,13
20260741,selection_fit,1,7,28
20260741,selection_fit,1,8,26
20260741,selection_fit,1,9,22
20260741,selection_fit,1,10,33
20260741,selection_fit,1,11,29
20260741,selection_fit,1,12,5
20260741,selection_fit,1,13,4
20260741,selection_fit,1,14,16
20260741,selection_fit,1,15,30
20260741,selection_fit,1,16,32
20260741,selection_fit,1,17,18
20260741,selection_fit,1,18,19
20260741,selection_fit,1,19,25
20260741,selection_fit,1,20,24
20260741,selection_fit,1,21,23
20260741,selection_fit,1,22,15
20260741,selection_fit,1,23,1
20260741,selection_fit,1,24,7
20260741,selection_fit,1,25,3
20260741,selection_fit,1,26,20
20260741,selection_fit,1,27,21
20260741,selection_fit,1,28,17
20260741,selection_fit,1,29,31
20260741,selection_fit,1,30,34
20260741,selection_fit,1,31,36
20260741,selection_fit,1,32,12
20260741,selection_fit,1,33,6
20260741,selection_fit,1,34,8
20260741,selection_fit,1,35,14
20260741,selection_fit,1,36,10
20260741,selection_fit,1,37,11
20260741,all_history_refit,1,1,14
20260741,all_history_refit,1,2,51
20260741,all_history_refit,1,3,44
20260741,all_history_refit,1,4,34
20260741,all_history_refit,1,5,49
20260741,all_history_refit,1,6,35
20260741,all_history_refit,1,7,57
20260741,all_history_refit,1,8,27
20260741,all_history_refit,1,9,61
20260741,all_history_refit,1,10,29
20260741,all_history_refit,1,11,38
20260741,all_history_refit,1,12,25
20260741,all_history_refit,1,13,17
20260741,all_history_refit,1,14,39
20260741,all_history_refit,1,15,30
20260741,all_history_refit,1,16,1
20260741,all_history_refit,1,17,2
20260741,all_history_refit,1,18,42
20260741,all_history_refit,1,19,11
20260741,all_history_refit,1,20,13
20260741,all_history_refit,1,21,26
20260741,all_history_refit,1,22,56
20260741,all_history_refit,1,23,12
20260741,all_history_refit,1,24,53
20260741,all_history_refit,1,25,19
20260741,all_history_refit,1,26,41
20260741,all_history_refit,1,27,9
20260741,all_history_refit,1,28,8
20260741,all_history_refit,1,29,21
20260741,all_history_refit,1,30,37
20260741,all_history_refit,1,31,28
20260741,all_history_refit,1,32,48
20260741,all_history_refit,1,33,22
20260741,all_history_refit,1,34,33
20260741,all_history_refit,1,35,15
20260741,all_history_refit,1,36,32
20260741,all_history_refit,1,37,10
20260741,all_history_refit,1,38,47
20260741,all_history_refit,1,39,16
20260741,all_history_refit,1,40,54
20260741,all_history_refit,1,41,52
20260741,all_history_refit,1,42,18
20260741,all_history_refit,1,43,24
20260741,all_history_refit,1,44,40
20260741,all_history_refit,1,45,36
20260741,all_history_refit,1,46,23
20260741,all_history_refit,1,47,20
20260741,all_history_refit,1,48,31
20260741,all_history_refit,1,49,4
20260741,all_history_refit,1,50,45
20260741,all_history_refit,1,51,7
20260741,all_history_refit,1,52,50
20260741,all_history_refit,1,53,59
20260741,all_history_refit,1,54,58
20260741,all_history_refit,1,55,55
20260741,all_history_refit,1,56,6
20260741,all_history_refit,1,57,5
20260741,all_history_refit,1,58,46
20260741,all_history_refit,1,59,43
20260741,all_history_refit,1,60,3
20260741,all_history_refit,1,61,60
20260742,selection_fit,1,1,24
20260742,selection_fit,1,2,6
20260742,selection_fit,1,3,16
20260742,selection_fit,1,4,27
20260742,selection_fit,1,5,19
20260742,selection_fit,1,6,30
20260742,selection_fit,1,7,34
20260742,selection_fit,1,8,20
20260742,selection_fit,1,9,9
20260742,selection_fit,1,10,32
20260742,selection_fit,1,11,35
20260742,selection_fit,1,12,17
20260742,selection_fit,1,13,23
20260742,selection_fit,1,14,8
20260742,selection_fit,1,15,18
20260742,selection_fit,1,16,21
20260742,selection_fit,1,17,25
20260742,selection_fit,1,18,12
20260742,selection_fit,1,19,28
20260742,selection_fit,1,20,22
20260742,selection_fit,1,21,11
20260742,selection_fit,1,22,10
20260742,selection_fit,1,23,37
20260742,selection_fit,1,24,1
20260742,selection_fit,1,25,14
20260742,selection_fit,1,26,4
20260742,selection_fit,1,27,5
20260742,selection_fit,1,28,33
20260742,selection_fit,1,29,26
20260742,selection_fit,1,30,7
20260742,selection_fit,1,31,29
20260742,selection_fit,1,32,2
20260742,selection_fit,1,33,31
20260742,selection_fit,1,34,15
20260742,selection_fit,1,35,3
20260742,selection_fit,1,36,36
20260742,selection_fit,1,37,13
20260742,all_history_refit,1,1,7
20260742,all_history_refit,1,2,54
20260742,all_history_refit,1,3,21
