update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,stage,episode,step,pass
100,0.0023276417050510645,0.1272859275341034,-0.14227312803268433,-0.13762742280960083,-0.1450078785419464,0.02062840387225151,0.12940944731235504,pretrain,10,11,
200,0.0011638229480013251,0.1358107328414917,-0.14960798621177673,-0.14647124707698822,-0.14333651959896088,0.015733957290649414,0.1284416913986206,pretrain,14,15,
300,0.0014916282379999757,0.13078001141548157,-0.14347799122333527,-0.14478763937950134,-0.15136630833148956,0.016209149733185768,0.17959241569042206,pretrain,18,19,
400,0.0010907549876719713,0.12793976068496704,-0.14595377445220947,-0.14488276839256287,-0.14639243483543396,0.015890853479504585,0.08306112885475159,pretrain,22,23,
500,0.0009406497119925916,0.1370025873184204,-0.1507924497127533,-0.15158657729625702,-0.15246306359767914,0.016902493312954903,0.09057451784610748,pretrain,27,3,
600,0.0012949986848980188,0.12537530064582825,-0.14620378613471985,-0.1400134265422821,-0.14217326045036316,0.018537260591983795,0.12984603643417358,pretrain,31,7,
700,0.001409369520843029,0.12585754692554474,-0.1511830985546112,-0.14221647381782532,-0.14614646136760712,0.01885320246219635,0.19614772498607635,pretrain,35,11,
800,0.0011106024030596018,0.10704878717660904,-0.12751930952072144,-0.13866516947746277,-0.13544031977653503,0.020040642470121384,0.22177650034427643,pretrain,39,15,
900,0.0016949514392763376,0.12768031656742096,-0.1441262662410736,-0.1572386920452118,-0.14567363262176514,0.02330106869339943,0.21975234150886536,pretrain,43,19,
1000,0.001306825433857739,0.13020291924476624,-0.1512804627418518,-0.1514391452074051,-0.1552051603794098,0.021831510588526726,0.15457458794116974,pretrain,47,23,
1100,0.0013255839003250003,0.12701275944709778,-0.13678035140037537,-0.14184778928756714,-0.14086352288722992,0.019731862470507622,0.1347791850566864,pretrain,52,3,
1200,0.0014634783146902919,0.1297185868024826,-0.1475912481546402,-0.14972791075706482,-0.14391574263572693,0.0217125304043293,0.2038636952638626,pretrain,56,7,
1300,0.0014228972140699625,0.12772303819656372,-0.1395569145679474,-0.144949272274971,-0.13821861147880554,0.022388221696019173,0.16507798433303833,pretrain,60,11,
1400,0.0013263734290376306,0.1206558421254158,-0.1299552321434021,-0.13504430651664734,-0.13671594858169556,0.019595228135585785,0.2003229558467865,pretrain,64,15,
1500,0.0013909840490669012,0.13528519868850708,-0.15289297699928284,-0.1537073254585266,-0.14897114038467407,0.01898328959941864,0.21852299571037292,pretrain,68,19,
1600,0.001876393216662109,0.13193413615226746,-0.13779491186141968,-0.13304786384105682,-0.14323070645332336,0.024102946743369102,0.24117259681224823,pretrain,72,23,
1700,0.0015994125278666615,0.13200853765010834,-0.13397394120693207,-0.1410466581583023,-0.14654812216758728,0.022913023829460144,0.287833571434021,pretrain,77,3,
1800,0.001726241665892303,0.13911974430084229,-0.1423904001712799,-0.14693859219551086,-0.15051253139972687,0.023063194006681442,0.2151133269071579,pretrain,81,7,
1900,0.001637861249037087,0.1267869472503662,-0.13597160577774048,-0.14158788323402405,-0.1322559416294098,0.023600900545716286,0.20344048738479614,pretrain,85,11,
2000,0.0019150258740410209,0.11064015328884125,-0.1254507601261139,-0.1317560225725174,-0.13597911596298218,0.024075370281934738,0.241898313164711,pretrain,89,15,
2100,0.0017576979007571936,0.13323581218719482,-0.14336922764778137,-0.1389315128326416,-0.14282011985778809,0.02147556096315384,0.1742919385433197,pretrain,93,19,
2200,0.0013724205782637,0.12377490848302841,-0.1325332522392273,-0.1379500925540924,-0.13363251090049744,0.020488085225224495,0.15408626198768616,pretrain,97,23,
2300,0.0017965321894735098,0.1289859116077423,-0.13919591903686523,-0.13380147516727448,-0.13733577728271484,0.02247408963739872,0.17964111268520355,pretrain,102,3,
2400,0.0014931685291230679,0.12424473464488983,-0.13421222567558289,-0.14141429960727692,-0.137477308511734,0.023301176726818085,0.1393648087978363,pretrain,106,7,
2500,0.001829885644838214,0.12866316735744476,-0.13335365056991577,-0.14147606492042542,-0.13853543996810913,0.024729080498218536,0.20370911061763763,pretrain,110,11,
2600,0.0016414308920502663,0.14450344443321228,-0.14784161746501923,-0.15153153240680695,-0.14567871391773224,0.024224787950515747,0.17023029923439026,pretrain,114,15,
2700,0.0013534280005842447,0.1289014369249344,-0.13864710927009583,-0.14025916159152985,-0.14327898621559143,0.022151794284582138,0.1466086059808731,pretrain,118,19,
2800,0.0013538163620978594,0.13798442482948303,-0.1460230052471161,-0.14124885201454163,-0.14035573601722717,0.02138981968164444,0.15952058136463165,pretrain,122,23,
2900,0.0016780965961515903,0.13602998852729797,-0.14678236842155457,-0.14494732022285461,-0.14651373028755188,0.02293587662279606,0.11964277923107147,pretrain,127,3,
3000,0.0017932024784386158,0.11330631375312805,-0.12324215471744537,-0.11722263693809509,-0.12431146204471588,0.02462548390030861,0.15600909292697906,pretrain,131,7,
3100,0.0019123601960018277,0.12924382090568542,-0.1377137303352356,-0.1423168033361435,-0.13625410199165344,0.023699771612882614,0.1681881994009018,pretrain,135,11,
3200,0.0021414742805063725,0.12193427979946136,-0.1370151937007904,-0.1304713785648346,-0.13057687878608704,0.0256807878613472,0.178675577044487,pretrain,139,15,
3300,0.0021042064763605595,0.11223555356264114,-0.12063030898571014,-0.11753800511360168,-0.1225537434220314,0.023756539449095726,0.16208882629871368,pretrain,143,19,
3400,0.0016702961875125766,0.1236976608633995,-0.12935522198677063,-0.140127494931221,-0.13538584113121033,0.023004624992609024,0.1756238490343094,pretrain,147,23,
3500,0.0017035164637491107,0.128055140376091,-0.1334758847951889,-0.1402919888496399,-0.13777640461921692,0.023602303117513657,0.13755129277706146,pretrain,152,3,
3600,0.0013576976489275694,0.13418607413768768,-0.14329084753990173,-0.1385708451271057,-0.13265205919742584,0.022596115246415138,0.2128097414970398,pretrain,156,7,
3700,0.0014016610803082585,0.11245518177747726,-0.12230205535888672,-0.12187723070383072,-0.12369628250598907,0.020694665610790253,0.10716862976551056,pretrain,160,11,
3800,0.001830745954066515,0.13936106860637665,-0.1477964222431183,-0.14714248478412628,-0.1502896547317505,0.020477429032325745,0.10749564319849014,pretrain,164,15,
3900,0.0016149982111528516,0.12514358758926392,-0.13654586672782898,-0.1389843225479126,-0.13800686597824097,0.02099940925836563,0.11780090630054474,pretrain,168,19,
